Date,Type,Description,Amount,Balance
Nov 30 2025,Interest Earned,Interest earned,0.05,0.59
Nov 30 2025,Roundup,Roundup *STRIKE,-0.58,0.54
Nov 30 2025,Debit Card,BUFFER PLAN,-6.00,1.12
Nov 30 2025,Debit Card,STRIKE,-482.42,7.12
Nov 29 2025,Roundup,Roundup *WHOP*LOCKDOWN PICKS,-0.01,489.54
Nov 29 2025,Roundup,Roundup *APPLE.COM/BILL,-0.01,489.55
Nov 29 2025,Debit Card,WHOP*LOCKDOWN PICKS,-129.99,489.56
Nov 29 2025,Debit Card,APPLE.COM/BILL,-11.00,619.55
Nov 29 2025,Debit Card,APPLE.COM/BILL,-0.99,630.55
Nov 28 2025,Deposit,From Bills & Runway Vault,479.00,631.54
Nov 28 2025,Deposit,From Bills & Runway Vault,6.00,152.54
Nov 28 2025,Withdrawal,To Bills & Runway Vault,-367.50,146.54
Nov 28 2025,Direct Deposit,SKOOL SKOOL,367.50,514.04
Nov 27 2025,Deposit,From Bills & Runway Vault,5.00,146.54
Nov 27 2025,Deposit,From Bills & Runway Vault,129.00,141.54
Nov 27 2025,Withdrawal,To Bills & Runway Vault,-252.00,12.54
Nov 26 2025,Deposit,MYFREESCORENOW AFFILIATE,264.00,264.54
Nov 26 2025,Withdrawal,To Zakat Vault,-0.07,0.54
Nov 26 2025,Debit Card,UBR* PENDING.UBER.COM,-33.93,0.61
Nov 26 2025,Debit Card,JPAY MONEY TRANSFER,-70.00,34.54
Nov 25 2025,Debit Card,LYFT *TEMP AUTH HOLD,-22.02,104.54
Nov 25 2025,Direct Payment,SOFI SECURITIES ACH,-6.45,126.56
Nov 24 2025,Deposit,Oportun Bonus,0.01,133.01
Nov 24 2025,Deposit,From Bills & Runway Vault,70.00,133.00
Nov 24 2025,Debit Card,SKOOL.COM,-9.00,63.00
Nov 23 2025,Deposit,From Bills & Runway Vault,40.00,72.00
Nov 23 2025,Withdrawal,To Bills & Runway Vault,-41.00,32.00
Nov 23 2025,Deposit,From Bills & Runway Vault,35.00,73.00
Nov 23 2025,Deposit,From Bills & Runway Vault,25.00,38.00
Nov 23 2025,Roundup,Roundup *LAKE FOOD MART,-0.89,13.00
Nov 23 2025,Debit Card,LAKE FOOD MART,-3.11,13.89
Nov 21 2025,Roundup,Roundup *CITGO LAKE CITY,-0.89,17.00
Nov 21 2025,Debit Card,CITGO LAKE CITY,-15.11,17.89
Nov 21 2025,Deposit,From Bills & Runway Vault,28.00,33.00
Nov 21 2025,Deposit,From Bills & Runway Vault,5.00,5.00
Nov 20 2025,Withdrawal,To Bills & Runway Vault,-161.70,0.00
Nov 20 2025,Direct Deposit,SKOOL SKOOL,161.70,161.70
Nov 19 2025,Roundup,Roundup *STRIKE,-0.33,0.00
Nov 19 2025,Debit Card,STRIKE,-136.67,0.33
